48	525
48	525
65	533	23.6842105263
68	557	80.0
67	576	94.7368421053
66	595	94.7368421053
65	614	94.7368421053
64	633	94.7368421053
70	652	71.0526315789
83	667	47.3684210526
96	682	47.3684210526
109	697	47.3684210526
129	697	0.0
149	697	0.0
166	688	331.578947368
186	688	0.0
183	679	331.578947368
203	679	0.0
189	698	71.0526315789
206	689	331.578947368
226	689	0.0
223	680	331.578947368
236	695	47.3684210526
253	703	23.6842105263
259	722	71.0526315789
258	741	94.7368421053
264	760	71.0526315789
263	779	94.7368421053
262	798	94.7368421053
261	817	94.7368421053
274	832	47.3684210526
294	832	0.0
314	832	0.0
331	840	23.6842105263
351	840	0.0
371	840	0.0
391	840	0.0
411	840	0.0
431	840	0.0
448	848	23.6842105263
468	848	0.0
488	848	0.0
508	848	0.0
528	848	0.0
545	856	23.6842105263
565	856	0.0
585	856	0.0
602	864	23.6842105263
570	868	142.105263158
587	859	331.578947368
604	867	23.6842105263
610	886	71.0526315789
613	910	80.0
604	927	118.421052632
595	944	118.421052632
580	956	142.105263158
565	968	142.105263158
582	976	23.6842105263
556	985	118.421052632
547	1002	118.421052632
553	1021	71.0526315789
537	985	236.842105263
550	1000	47.3684210526
549	1019	94.7368421053
540	983	236.842105263
539	1002	94.7368421053
545	1021	71.0526315789
558	1036	47.3684210526
564	1055	71.0526315789
570	1021	307.894736842
558	1042	120.0
571	1057	47.3684210526
563	1023	284.210526316
554	1040	118.421052632
567	1055	47.3684210526
580	1070	47.3684210526
597	1078	23.6842105263
578	1051	260.526315789
577	1070	94.7368421053
594	1078	23.6842105263
611	1086	23.6842105263
628	1094	23.6842105263
648	1094	0.0
668	1094	0.0
685	1102	23.6842105263
702	1093	331.578947368
722	1093	0.0
739	1084	331.578947368
756	1075	331.578947368
740	1064	213.157894737
768	1060	307.894736842
780	1045	307.894736842
785	1026	284.210526316
783	1007	260.526315789
764	1012	165.789473684
781	988	260.526315789
771	971	236.842105263
755	960	213.157894737
753	941	260.526315789
743	924	236.842105263
755	909	307.894736842
767	894	307.894736842
780	909	47.3684210526
779	879	307.894736842
799	879	0.0
819	879	0.0
839	879	0.0
856	887	23.6842105263
876	887	0.0
896	887	0.0
916	887	0.0
936	887	0.0
953	895	23.6842105263
970	886	331.578947368
975	867	284.210526316
980	848	284.210526316
978	829	260.526315789
983	810	284.210526316
988	791	284.210526316
986	772	260.526315789
991	753	284.210526316
989	734	260.526315789
994	715	284.210526316
992	696	260.526315789
982	679	236.842105263
972	662	236.842105263
953	658	189.473684211
934	663	165.789473684
915	668	165.789473684
896	673	165.789473684
887	690	118.421052632
868	695	165.789473684
849	700	165.789473684
830	696	189.473684211
814	685	213.157894737
798	674	213.157894737
788	657	236.842105263
778	640	236.842105263
776	621	260.526315789
774	602	260.526315789
772	583	260.526315789
777	564	284.210526316
782	545	284.210526316
780	526	260.526315789
785	507	284.210526316
790	488	284.210526316
807	479	331.578947368
819	464	307.894736842
831	449	307.894736842
848	440	331.578947368
861	455	47.3684210526
865	431	331.578947368
882	439	23.6842105263
899	447	23.6842105263
916	455	23.6842105263
929	470	47.3684210526
946	478	23.6842105263
959	493	47.3684210526
951	459	284.210526316
947	483	100.0
964	491	23.6842105263
981	499	23.6842105263
998	490	331.578947368
1010	475	307.894736842
1015	456	284.210526316
1027	441	307.894736842
1025	422	260.526315789
1031	441	71.0526315789
1023	403	260.526315789
1021	384	260.526315789
1019	365	260.526315789
1024	346	284.210526316
1022	327	260.526315789
1027	308	284.210526316
1025	289	260.526315789
