13	713
13	713
48	773	55.7851239669
95	800	23.6842105263
94	819	94.7368421053
93	838	94.7368421053
94	857	82.8947368421
100	876	71.0526315789
106	895	71.0526315789
115	912	59.2105263158
128	927	47.3684210526
143	939	35.5263157895
160	947	23.6842105263
180	947	0.0
184	918	278.181818182
208	938	343.636363636
227	932	343.421052632
246	926	343.421052632
263	917	331.578947368
297	924	6.92307692308
316	929	11.8421052632
331	941	35.5263157895
344	956	47.3684210526
345	975	82.8947368421
351	994	71.0526315789
350	1013	94.7368421053
356	1032	71.0526315789
349	1032	94.7368421053
355	1051	71.0526315789
361	1070	71.0526315789
360	1089	94.7368421053
359	1108	94.7368421053
358	1127	94.7368421053
375	1135	23.6842105263
395	1135	0.0
415	1135	0.0
454	1128	352.702702703
474	1128	0.0
494	1128	0.0
513	1122	343.421052632
533	1122	0.0
553	1122	0.0
572	1127	11.8421052632
592	1127	0.0
612	1127	0.0
632	1127	0.0
651	1132	11.8421052632
671	1132	0.0
688	1140	23.6842105263
661	1115	236.842105263
667	1134	71.0526315789
686	1139	11.8421052632
661	1116	248.684210526
667	1135	71.0526315789
687	1135	0.0
702	1147	35.5263157895
715	1162	47.3684210526
700	1128	260.526315789
699	1147	94.7368421053
712	1162	47.3684210526
711	1181	94.7368421053
702	1198	118.421052632
693	1215	118.421052632
680	1230	130.263157895
665	1242	142.105263158
661	1266	100.0
660	1285	94.7368421053
659	1304	94.7368421053
665	1266	284.210526316
659	1285	106.578947368
660	1304	82.8947368421
669	1321	59.2105263158
682	1336	47.3684210526
699	1344	23.6842105263
716	1352	23.6842105263
733	1360	23.6842105263
752	1365	11.8421052632
772	1365	0.0
792	1365	0.0
758	1345	206.756756757
763	1338	218.918918919
831	1358	352.702702703
850	1352	343.421052632
865	1339	319.736842105
877	1324	307.894736842
858	1320	189.473684211
889	1309	307.894736842
889	1290	272.368421053
889	1271	272.368421053
883	1253	248.684210526
864	1249	189.473684211
873	1236	236.842105263
860	1222	225.0
854	1204	248.684210526
838	1193	213.157894737
848	1186	248.684210526
846	1167	260.526315789
858	1152	307.894736842
880	1143	340.0
865	1155	142.105263158
899	1137	343.421052632
919	1137	0.0
939	1137	0.0
959	1137	0.0
978	1142	11.8421052632
997	1136	343.421052632
1016	1141	11.8421052632
1036	1141	0.0
1048	1126	307.894736842
1048	1107	272.368421053
1056	1090	296.052631579
1054	1071	260.526315789
1062	1054	296.052631579
1062	1035	272.368421053
1070	1037	296.052631579
1060	1020	236.842105263
1068	1003	296.052631579
1085	994	331.578947368
1102	985	331.578947368
1122	985	0.0
1119	993	23.6842105263
1139	993	0.0
1152	1008	47.3684210526
1172	1021	30.0
1189	1029	23.6842105263
1209	1029	0.0
1231	1020	340.0
1248	1011	331.578947368
1263	998	319.736842105
1271	981	296.052631579
1279	964	296.052631579
1284	945	284.210526316
1289	926	284.210526316
1289	907	272.368421053
1289	888	272.368421053
1287	869	260.526315789
1287	850	272.368421053
1281	832	248.684210526
1275	814	248.684210526
1265	797	236.842105263
1249	786	213.157894737
1233	775	213.157894737
1214	771	189.473684211
1194	771	177.631578947
1179	783	142.105263158
1164	795	142.105263158
1149	807	142.105263158
1132	815	153.947368421
1112	815	177.631578947
1093	820	165.789473684
1080	806	225.0
1074	788	248.684210526
1072	769	260.526315789
1072	750	272.368421053
1072	731	272.368421053
1072	712	272.368421053
1072	693	272.368421053
1072	674	272.368421053
1072	655	272.368421053
