285	240
302	240
271	250
315	250
267	260
322	260
265	270
324	270
267	280
325	280
270	290
324	290
272	300
322	300
269	310
318	310
259	320
323	320
261	320
269	320
204	330
375	330
202	340
380	340
202	350
385	350
202	360
403	360
202	370
421	370
361	370
389	370
200	380
423	380
193	390
419	390
141	390
175	390
128	400
411	400
122	410
403	410
121	420
396	420
327	420
284	420
340	430
391	430
122	430
269	430
129	440
390	440
129	440
267	440
191	450
267	450
192	450
389	450
196	460
272	460
332	460
388	460
195	470
276	470
327	470
387	470
195	480
279	480
194	480
385	480
195	490
276	490
331	490
279	490
214	500
264	500
202	500
353	500
130	398
130	437
140	389
140	444
150	385
150	447
160	382
160	446
170	385
170	443
180	387
180	442
190	389
190	444
200	384
200	495
210	325
210	497
220	323
220	499
230	323
230	500
240	322
240	500
250	320
250	500
260	318
260	499
270	311
270	495
280	242
280	421
290	237
290	416
300	237
300	414
310	240
310	412
320	250
320	412
330	320
330	417
340	322
340	424
340	321
340	493
350	323
350	495
360	322
360	495
370	324
370	491
380	334
380	488
390	350
390	355
400	355
400	413
410	359
410	401
420	364
420	390
