250	451
250	541
260	451
260	548
260	453
260	685
270	451
270	548
270	613
270	548
280	451
280	716
280	453
280	546
290	452
290	716
290	454
290	539
300	452
300	714
300	625
300	532
310	452
310	712
310	451
310	528
320	452
320	523
320	451
320	711
330	451
330	523
330	453
330	711
340	449
340	527
350	445
350	711
350	358
350	424
360	350
360	714
370	344
370	804
380	341
380	813
390	339
390	815
400	339
400	817
410	339
410	815
420	343
420	810
430	348
430	804
440	360
440	795
450	436
450	723
460	443
460	716
470	446
470	714
480	447
480	714
490	447
490	716
500	447
500	716
500	589
500	541
510	446
510	716
510	597
510	528
520	606
520	716
530	618
530	716
